单间 | 下关五塘白云雅居 3室1厅 主卧 精装修 可办居住证,白云雅居,1000,http://short.58.com/zd_p/492c54a8-9087-442b-abf0-9c94f08a3044/?target=oc-16-xgk_ephv_83127963920432q-feykn&end=end
单间 | 胜利新村 4室1厅1卫,秣陵,750,http://short.58.com/zd_p/818a41ad-7bf1-4ac0-98c9-51c8c4bc9ae6/?target=oc-16-xgk_ephv_83110436018343q-feykn&end=end
整租 | 南京工业大学江浦校区亚青村-19幢 2室2厅1卫,江浦,2200,http://short.58.com/zd_p/f958bc2d-3d3a-482d-925c-a04a2dc0903a/?target=oc-16-xgk_hvimob_83935627686246q-feykn&end=end
单间 | 个人直租油坊桥建邺奥体莲花新城北苑无豪华装修随时入住,莲花新城北苑,700,http://short.58.com/zd_p/b20bf0e7-f97f-428d-ad5d-ae23fff97297/?target=oc-16-xgk_ephv_83886704739171q-feykn&end=end
单间 | 龙眠大道地铁口天景山公寓欣荣苑 精装主卧,科学园,450,http://short.58.com/zd_p/d658de1f-9687-4d28-a845-86b96511381d/?target=oc-16-xgk_ephv_32692318544010q-feykn&end=end
整租 | 艺华商业广场 1室1厅1卫,止马营,2300,http://short.58.com/zd_p/c4d5eb66-f037-4bf5-b50d-4f3302267400/?target=oc-16-xgk_hvimob_87112185599017q-feykn&end=end
单间 | 个人出租竹山路地铁口谭桥北园 精装主卧800次卧60,科学园,500,http://short.58.com/zd_p/12fd6272-76f1-449e-b248-a3f1cc8221ea/?target=oc-16-xgk_ephv_83188063120632q-feykn&end=end
整租 | 湖滨公寓西区 1室0厅1卫,湖滨公寓西区,1450,http://short.58.com/zd_p/86ee308f-40ed-4762-b608-d696379dc58e/?target=oc-16-xgk_hvimob_83988754133648q-feykn&end=end
单间 | 雨花台区安德门小行地铁站旁名城世家个人带阳台单间出租,名城世家,750,http://short.58.com/zd_p/f3015abf-2689-42f2-8d5d-470f32c626a1/?target=oc-16-xgk_ephv_87230231403280q-feykn&end=end
"整租 | 苏博精装修公寓,高速宽带,可月付(非中介)，现租房就",南京,1200,http://short.58.com/zd_p/52a92002-ca7d-4051-82c9-e44bbb7815b1/?target=oc-16-xgk_hvimob_35605166859533q-feykn&end=end
单间 | 个人出租万达广场女人街对面广汇花园电梯房主卧次卧可月,广汇花园,800,http://short.58.com/zd_p/647c8b53-dac3-4136-97b9-7a9342d3d2b4/?target=oc-16-xgk_ephv_83124726427216q-feykn&end=end
单间 | 可月付！可短租！马群靠着仙鹤门紫东创意园苏宁,马群,600,http://short.58.com/zd_p/7cca044e-dab8-49a7-9c76-6078a155e444/?target=oc-16-xgk_ephv_87282953489239q-feykn&end=end
整租 | 潭桥公寓北园 3室2厅1卫,潭桥公寓北园,2900,http://short.58.com/zd_p/b2f55d1f-0a20-4274-b8f0-0c2d5fc240d7/?target=oc-16-xgk_hvimob_83942597683245q-feykn&end=end
单间 | 低价出租湖南路玄武门地铁站主卧朝南1300元精装家具,南京,1300,http://short.58.com/zd_p/82aae76f-ba1c-45dc-bf37-8feea625f0af/?target=oc-16-xgk_ephv_84153032156817q-feykn&end=end
单间 | 年前甩租江宁万达广场附近新房首租3居中的一间带独卫可,东山,800,http://short.58.com/zd_p/910b89c5-aa90-4e3c-ae15-8c0cb74afcc5/?target=oc-16-xgk_ephv_83838221582908q-feykn&end=end
整租 | 悦恒君铂国际 1室0厅1卫,悦恒君铂国际,1600,http://short.58.com/zd_p/a6bdfbd5-d7a7-4155-a309-700184f0502b/?target=oc-16-xgk_hvimob_83935645137647q-feykn&end=end
整租 | 清润园 2室1厅1卫,奥体,2800,http://short.58.com/zd_p/ed99eb4c-2654-46d7-9d20-deba605bc866/?target=oc-16-xgk_hvimob_36487803941358q-feykn&end=end
单间 | 万达附近《女人街700一个月》押一付一,东山,700,http://short.58.com/zd_p/9f23b3fc-96a9-49ba-a94e-0ff17a373931/?target=oc-16-xgk_ephv_83162980442610q-feykn&end=end
整租 | 湖心花园 3室1厅2卫,湖心花园,6000,http://short.58.com/zd_p/7bf2089d-7788-49fd-bb88-1787280a860a/?target=oc-16-xgk_hvimob_83128198710104q-feykn&end=end
整租 | 江南文枢苑(别墅) 1室1厅1卫,江南文枢苑(别墅),1890,http://short.58.com/zd_p/9bc8d156-3deb-4b3c-8dae-98dbe0833367/?target=oc-16-xgk_hvimob_83508437500216q-feykn&end=end
整租 | 清辉园 2室1厅1卫,清辉园,2300,http://short.58.com/zd_p/ed67fd28-bef6-4c16-bf6a-9fa5b682dec2/?target=oc-16-xgk_hvimob_36401575285722q-feykn&end=end
整租 | 宁夏路23号小区 1室0厅1卫,宁夏路23号小区,900,http://short.58.com/zd_p/6bd5221b-cac0-468f-bd14-89254346889e/?target=oc-16-xgk_hvimob_87618521652324q-feykn&end=end
整租 | 长乐公寓 1室1厅1卫,长乐公寓,2000,http://short.58.com/zd_p/c8cafa2a-d77e-4589-9199-7c0465be6ea2/?target=oc-16-xgk_hvimob_83535180739429q-feykn&end=end
单间 | 雨润大街地铁口 金沙雅苑 4室1厅2卫 男女不限,金沙雅苑,1200,http://short.58.com/zd_p/e0686e78-0ab6-45da-a8e3-101ff2739893/?target=oc-16-xgk_ephv_84599729798011q-feykn&end=end
单间 | 个人可月付小单间便宜租南京交院地铁两百米广告长期有效,江宁,300,http://short.58.com/zd_p/f3aa3ca4-0e00-49bf-953f-8c24c474ca58/?target=oc-16-xgk_ephv_39520739968045q-feykn&end=end
单间 | 主卧独卫 次卧带阳台 可短租 可随时看房,威尼斯水城第一街区,600,http://short.58.com/zd_p/6c783a1f-08d7-4f50-98fb-368740f7480d/?target=oc-16-xgk_ephv_87586307048387q-feykn&end=end
单间 | 天印大道地铁口单间850/月,科学园,850,http://short.58.com/zd_p/770ddfce-90d3-46d7-946f-9175644bd066/?target=oc-16-xgk_ephv_83937040603410q-feykn&end=end
单间 | 能仁里1号 3室1厅1卫 精装 可办住房补贴,能仁里,1000,http://short.58.com/zd_p/e891f947-663a-4464-8dfd-51b0a3413152/?target=oc-16-xgk_ephv_83931630777777q-feykn&end=end
整租 | 东方万汇国际公寓(东方万汇城南区) 2室1厅1卫,东方万汇国际公寓(东方万汇城南区),1800,http://short.58.com/zd_p/a81a1659-8eb3-4195-a7c6-e98e15e8c8bc/?target=oc-16-xgk_hvimob_83889471619498q-feykn&end=end
单间 | 550-1000 之间 主卧 次卧 石墙无隔断,莲花新城北苑,550,http://short.58.com/zd_p/b2f37487-2c9b-4cac-9368-2be5bfe0acde/?target=oc-16-xgk_ephv_36726157575264q-feykn&end=end
整租 | 大华锦绣华城柳洲苑 2室0厅1卫,大华锦绣华城柳洲苑,1300,http://short.58.com/zd_p/afd47eae-83fe-41f6-813d-4eec9b2e13bb/?target=oc-16-xgk_hvimob_83571026146699q-feykn&end=end
单间 | 融侨官邸 上下铺 限男生 新房干净卫生,江浦,200,http://short.58.com/zd_p/826d7aa9-dec5-4250-ac70-6ba6e329593c/?target=oc-16-xgk_ephv_32025568800940q-feykn&end=end
单间 | /个人/干净实惠/押一付一明发滨江新城小三期500不,明发滨江新城三期,500,http://short.58.com/zd_p/34e9e2e0-1aea-4579-9792-55e4f4a21fb5/?target=oc-16-xgk_ephv_87426713143204q-feykn&end=end
整租 | 明门公寓 1室1厅1卫,明门公寓,1600,http://short.58.com/zd_p/f5076ff0-1070-46b6-8ade-4200361dfdcb/?target=oc-16-xgk_hvimob_84509079735976q-feykn&end=end
单间 | 四方新村四村 精装4室1厅1卫 男女不限,光华路,600,http://short.58.com/zd_p/be6d7487-4235-4cdc-a66a-fdfdc5e5ca60/?target=oc-16-xgk_ephv_83102453125385q-feykn&end=end
整租 | 佳和园 1室1厅1卫,佳和园,3000,http://short.58.com/zd_p/81fe38b8-a197-41b3-8f8d-1cefa4a9c95d/?target=oc-16-xgk_hvimob_83522649699091q-feykn&end=end
单间 | 《个人》万达广场附近，空调卧室450元，短租,东山,450,http://short.58.com/zd_p/1e0284b7-c1e5-4cd2-b2bf-d0aff0de880b/?target=oc-16-xgk_ephv_87203195873393q-feykn&end=end
单间 | 翠林山庄 2室1厅1卫 男女不限,翠林山庄,800,http://short.58.com/zd_p/4e0f79db-990d-4bde-89c3-75c47caeb588/?target=oc-16-xgk_ephv_83189133310383q-feykn&end=end
单间 | 鼓楼地铁口许府巷小区合租主卧32室1厅1卫 男女不限,湖南路,850,http://short.58.com/zd_p/99db9f38-38c3-4ee3-b6de-ec7d8baa39fa/?target=oc-16-xgk_ephv_87112915129705q-feykn&end=end
整租 | 东麒雅苑 2室1厅1卫,上坊,1600,http://short.58.com/zd_p/fe1b0073-2aad-4887-bef1-71d0af879354/?target=oc-16-xgk_hvimob_83938144407805q-feykn&end=end
单间 | 个人房源 天润城地铁口 正规三房 可月付 包宽带物业,沿江,550,http://short.58.com/zd_p/933348ef-08bd-489f-b200-af66e6ceacfb/?target=oc-16-xgk_ephv_32678103660859q-feykn&end=end
整租 | 莫愁路/朝天宫西街(路口) 1室0厅1卫,朝天宫,2500,http://short.58.com/zd_p/e55a38ff-60bc-4968-952d-fb135b4def4a/?target=oc-16-xgk_hvimob_83464030280830q-feykn&end=end
单间 | 个人三江学院旁精装公寓，拎包入住，可短租,春江佳园,750,http://short.58.com/zd_p/46b10189-23d5-4a7f-80ee-c3879562eb4e/?target=oc-16-xgk_ephv_83988839574159q-feykn&end=end
单间 | 押一付一天景山公寓碧华苑 4室1厅 次卧 朝南 中等,科学园,400,http://short.58.com/zd_p/ba55b283-fc60-4d81-a8a3-0656c835309c/?target=oc-16-xgk_ephv_87152681326010q-feykn&end=end
单间 | 浦口桥北威尼斯水城临近地铁三号线柳州东路站个人出租,威尼斯水城第五街区,550,http://short.58.com/zd_p/feadb348-d856-4018-8fbb-58fc0d2ec20b/?target=oc-16-xgk_ephv_83851595504882q-feykn&end=end
整租 | 新河苑二期 4室1厅1卫,新河苑二期,3000,http://short.58.com/zd_p/656d7ae5-31a8-4d35-9e90-348359e2982a/?target=oc-16-xgk_hvimob_83981399025539q-feykn&end=end
单间 | 建邺奥体莲花新城嘉园 3室1厅 可短租3个月,莲花新城嘉园,1000,http://short.58.com/zd_p/bfd4942d-8a23-481c-95d9-b88f89229451/?target=oc-16-xgk_ephv_84269186486100q-feykn&end=end
整租 | 潭桥公寓北园 1室1卫0厅,潭桥公寓北园,1000,http://short.58.com/zd_p/29b8775a-6a33-4c8e-a7ba-30955e91cf0d/?target=oc-16-xgk_hvimob_84862825804053q-feykn&end=end
单间 | 个人 【市中心】夫子庙地铁站 新街口 单间600-1,建康路,700,http://short.58.com/zd_p/7e4d9eb1-d724-4671-ac19-e486a8c5559a/?target=oc-16-xgk_ephv_39614495829603q-feykn&end=end
单间 | 【个人房东】浦口 桥北 柳州东路1号地铁口对面 威尼,威尼斯水城第四街区,500,http://nj.58.com/hezu/32643955563849x.shtml
单间 | 迈皋桥附近燕华花园主卧次卧出租,燕华花园,500,http://nj.58.com/hezu/32147314893372x.shtml
单间 | 保利中央公园 3室1厅 主卧 朝南 精装修,保利中央公园东苑,1100,http://nj.58.com/hezu/32426212723755x.shtml
单间 | 虹苑新寓 3室1厅1卫 男女不限,应天西路,700,http://nj.58.com/hezu/32135194351694x.shtml
单间 | 河定桥地铁口欧尚超市附近河定桥新苑 单室套间,开发区,1100,http://nj.58.com/hezu/32566400958540x.shtml
单间 | 迈皋桥地铁附近 瑜憬湾 主卧 朝南 精装修 押一付一,瑜憬湾,1100,http://nj.58.com/hezu/32491918086573x.shtml
整租 | 升景坊 3室1厅1卫,升景坊,3150,http://nj.58.com/zufang/32216040447146x.shtml
单间 | 骆村新寓 3室1厅2卫 男女不限,骆村新寓,850,http://nj.58.com/hezu/32566355932365x.shtml
整租 | 南苑真园 2室1厅1卫,南苑,2800,http://nj.58.com/zufang/32578500371774x.shtml
单间 | 个人建邺奥体莲花新城南苑 4室1厅 次卧 朝南 简单,莲花新城南苑,650,http://nj.58.com/hezu/32655617132232x.shtml
单间 | 个人出租 雨花区地铁口 春江佳园 3室1厅 主卧朝南,春江佳园,1100,http://nj.58.com/hezu/31792230167240x.shtml
整租 | 名嘉佳园 2室2厅1卫,名嘉佳园,2800,http://nj.58.com/zufang/32605625847468x.shtml
单间 | 【房东直租】浦口桥北新村 桥北客运站对面 离弘阳广场,桥北新村,500,http://nj.58.com/hezu/32654889690677x.shtml
单间 | 九龙湖地铁站附近 骏景华庭 精装单间 包网免物业 拎,骏景华庭,1000,http://nj.58.com/hezu/32415778574390x.shtml
单间 | 个人出租 竹山路地铁口 天泰花园 三居中一间 可月付,开发区,900,http://nj.58.com/hezu/32356795465540x.shtml
整租 | 德基紫金南苑（下马坊地铁站，银城东苑南） 3室2厅2,孝陵卫,6200,http://nj.58.com/zufang/29900302046916x.shtml
整租 | 时光澔韵 1室0厅1卫,时光澔韵,1300,http://nj.58.com/zufang/31394825569605x.shtml
整租 | 建康新村 2室1厅1卫,建康新村,3300,http://nj.58.com/zufang/32655621311948x.shtml
单间 | 岔路口双龙大道地铁口附近精装修个人秦湾景园,秦湾景园,900,http://nj.58.com/hezu/32401535465017x.shtml
单间 | 个人出租 双龙大道地铁口 金盛花园 精装主卧,开发区,1100,http://nj.58.com/hezu/32646947451585x.shtml
单间 | 个人出租 江宁万达 志宁花园 精装主卧 可月付,开发区,900,http://nj.58.com/hezu/32356700139049x.shtml
单间 | 《个人出租 无中介 》天润城第十二 3室1厅 主卧,天润城第十二街区,650,http://nj.58.com/hezu/32625236356917x.shtml
单间 | 江宁万达 东平雅苑 精装合租单间 包网物业 拎包入住,东平雅苑,1000,http://nj.58.com/hezu/32382729324111x.shtml
单间 | 大光路 次卧 精装修 公交站旁,大光路,1125,http://nj.58.com/hezu/30477912583748x.shtml
单间 | 上海明珠花园 4室2厅2卫 男女不限,上海明珠花园,900,http://nj.58.com/hezu/32566492749098x.shtml
整租 | 马鞍山慈湖河路枫林佳园 2室2厅1卫,板桥,500,http://nj.58.com/zufang/32450519986375x.shtml
单间 | 个人出租 胜太路地铁口 高尔夫国际花园 精装大次卧,高尔夫国际花园,950,http://nj.58.com/hezu/32646747045576x.shtml
整租 | 沿江润泰花园 2室1厅1卫,沿江,1600,http://nj.58.com/zufang/25181082239149x.shtml
单间 | 金盛公寓双龙大道地铁口三江学院旁全新装修拎包入住,开发区,900,http://nj.58.com/hezu/32446935046569x.shtml
单间 | 个人出租 岔路口 天地新城 精装独立阳台 大主卧,开发区,950,http://nj.58.com/hezu/32566861514960x.shtml
整租 | 义德东苑 2室1厅1卫,义德东苑,1500,http://nj.58.com/zufang/32655608749128x.shtml
单间 | 天印大道地铁站旁单间出租 房租可押一付一,书香名门,700,http://nj.58.com/hezu/32655608304687x.shtml
单间 | 夫子庙 长乐路 单间,长乐路134号小区,1100,http://nj.58.com/hezu/32622459039166x.shtml
单间 | 千章巷 3室1厅1卫 男女不限,秦淮,1200,http://nj.58.com/hezu/32523744850731x.shtml
单间 | 双龙大道 名嘉佳园 精装单间 可短租 月付,名嘉佳园,1000,http://nj.58.com/hezu/32382394676911x.shtml
单间 | 书香名门 主卧独卫 带阳台 个人,科学园,1000,http://nj.58.com/hezu/32234809356092x.shtml
单间 | 个人建邺奥体莲花新城南苑 4室1厅 次卧 朝南 简单,莲花新城南苑,650,http://nj.58.com/hezu/32655617132232x.shtml
单间 | 浦口桥北主次卧出租弘阳广场苏宁环球对面，5分钟到地铁,天润城第十六街区,600,http://nj.58.com/hezu/32634720430266x.shtml
单间 | 双龙大道地铁站旁 南方花园 精装单间 拎包入住 月付,南方花园(东区),面议,http://nj.58.com/hezu/32382258472130x.shtml
单间 | 玉堂花园 精装修 拎包入住 非中介,科学园,900,http://nj.58.com/hezu/32248469016395x.shtml
单间 | 保利梧桐语 3室2厅1卫 限女生,淳化,600,http://nj.58.com/hezu/32425302480184x.shtml
单间 | 阳光苑 3室1厅 主卧 朝南 精装修,阳光苑,850,http://nj.58.com/hezu/32436024972487x.shtml
单间 | 积善新寓 3室1厅1卫 男女不限,兴隆,800,http://nj.58.com/hezu/32644248057149x.shtml
单间 | 个人出租 竹山路地铁口 天泰花园 三居中一间 可月付,开发区,900,http://nj.58.com/hezu/32356795465540x.shtml
整租 | 德基紫金南苑（下马坊地铁站，银城东苑南） 3室2厅2,孝陵卫,6200,http://nj.58.com/zufang/29900302046916x.shtml
单间 | 秦淮夫子庙白鹭东苑 1室1厅 主卧 朝东 简单装修,白鹭东苑,1500,http://nj.58.com/hezu/32633724458691x.shtml
单间 | 迈皋桥地铁附近 万寿花苑 主卧 朝南 精装修 押一付,万寿花苑,1100,http://nj.58.com/hezu/32492280192553x.shtml
单间 | 岔路口双龙大道地铁口附近精装修个人秦湾景园,秦湾景园,900,http://nj.58.com/hezu/32401535465017x.shtml
整租 | 美景雅苑 2室1厅1卫,美景雅苑,3200,http://nj.58.com/zufang/32655605226162x.shtml
单间 | 《个人出租 无中介 》天润城第十二 3室1厅 主卧,天润城第十二街区,650,http://nj.58.com/hezu/32625236356917x.shtml
单间 | 大光路 次卧 精装修 公交站旁,大光路,1125,http://nj.58.com/hezu/30477912583748x.shtml
单间 | 上海明珠花园 4室2厅2卫 男女不限,上海明珠花园,900,http://nj.58.com/hezu/32566492749098x.shtml
整租 | 马鞍山慈湖河路枫林佳园 2室2厅1卫,板桥,500,http://nj.58.com/zufang/32450519986375x.shtml
单间 | 龙眠大地铁口天景山公寓如意苑朝南单间出租,天景山公寓如意苑,850,http://nj.58.com/hezu/32246859095605x.shtml
整租 | 义德东苑 2室1厅1卫,义德东苑,1500,http://nj.58.com/zufang/32655608749128x.shtml
单间 | 天印大道地铁站旁单间出租 房租可押一付一,书香名门,700,http://nj.58.com/hezu/32655608304687x.shtml
单间 | 夫子庙 长乐路 单间,长乐路134号小区,1100,http://nj.58.com/hezu/32622459039166x.shtml
单间 | 广兴花园女人街旁欧式装修苗圃路小区个人合租,科学园,700,http://nj.58.com/hezu/32369401683788x.shtml
整租 | 金穗花园 2室1卫1厅,奥体,3200,http://nj.58.com/zufang/27214436344116x.shtml
单间 | 个人出租 河海大学 江南文书院 精装主卧次卧,开发区,950,http://nj.58.com/hezu/32456546420152x.shtml
单间 | 河定桥新苑 3室1厅2卫 个人 急租 主卧阳台 朝南,河定桥新苑,1200,http://nj.58.com/hezu/32597423942450x.shtml
"单间 | 个人出租地铁口单间,能长租，短租",威尼斯水城第七街区,550,http://nj.58.com/hezu/32655605683114x.shtml
整租 | 秦湾景园 4室0厅1卫,东山,1300,http://nj.58.com/zufang/32482300111531x.shtml
单间 | 南湖边小区 2室1厅1卫 男女不限 最好是情侣或女士,西街头,1100,http://nj.58.com/hezu/32613453207877x.shtml
单间 | 个人出租 双龙大道地铁口 水岸明珠精装次卧,水岸明珠,900,http://nj.58.com/hezu/32568434232272x.shtml
整租 | 雨花客厅 2室2厅2卫,雨花客厅,3500,http://nj.58.com/zufang/32455748246721x.shtml
单间 | 个人出租 胜太西路地铁口附近湖滨世纪花园 出租主卧,东山,1000,http://nj.58.com/hezu/32524854018761x.shtml
单间 | 南京南站 万科新都荟 精装单间出租 拎包入住 月付,万科新都荟,1050,http://nj.58.com/hezu/32304553190573x.shtml
单间 | 《个人出租精品房》明发滨江新城 3室1厅 主卧,明发滨江新城一期,650,http://nj.58.com/hezu/32625192603562x.shtml
单间 | 个人出租 河定桥地铁口 水月秦淮 精装主卧次卧可月付,开发区,1080,http://nj.58.com/hezu/32456608245312x.shtml
单间 | 《个人出租精品房》明发滨江新城 3室1厅 主卧,明发滨江新城一期,650,http://nj.58.com/hezu/32625192603562x.shtml
单间 | 个人出租 河定桥地铁口 水月秦淮 精装主卧次卧可月付,开发区,1080,http://nj.58.com/hezu/32456608245312x.shtml
单间 | 春江新城新河苑 3室1厅1卫 男女不限,春江新城新河苑,800,http://nj.58.com/hezu/32655600316735x.shtml
单间 | 苏宁-徐庄软件园-紫气钟山-800全包-真实无假-看,樱驼花园,799,http://nj.58.com/hezu/32373426906572x.shtml
单间 | 门口s3号线，近地铁一号线，可短租,能仁里,900,http://nj.58.com/hezu/32655597335988x.shtml
单间 | 凤鸣苑 3室1厅1卫 男女不限,凤鸣苑,1200,http://nj.58.com/hezu/32544355038788x.shtml
单间 | 万达附近 市政天元城 商业街 饮食购物方便,东山,1000,http://nj.58.com/hezu/32624586420009x.shtml
单间 | 鼓楼龙江恒盛金陵湾 3室2厅 主卧 朝南 精装修,恒盛金陵湾,面议,http://nj.58.com/hezu/32655600051661x.shtml
单间 | 《个人出租》无中介天润城第十三 3室1厅 主卧 朝南,天润城第十三街区,600,http://nj.58.com/hezu/32625084469319x.shtml
单间 | 文博苑 3室1厅一卫 出租单间 限女生 ~,淳化,800,http://nj.58.com/hezu/32361263062205x.shtml
单间 | 河定桥新苑 3室1厅2卫 个人 急租 主卧阳台 朝南,河定桥新苑,1200,http://nj.58.com/hezu/32597423942450x.shtml
单间 | 江宁开发区翠屏清华园 4室2厅 主卧 朝南 精装修,翠屏清华园,1000,http://nj.58.com/hezu/31428340809296x.shtml
单间 | 个人出租，胜太路站附近湖东音乐苑3居中的一间首次出租,湖东音乐苑,800,http://nj.58.com/hezu/32511573420978x.shtml
整租 | 麒麟紫荆城晨光苑 2室1厅1卫,麒麟紫荆城晨光苑,1250,http://nj.58.com/zufang/32655601876540x.shtml
单间 | 江宁万达广场附近 芙阁新村 主卧 朝南 押一付一,芙阁新村,800,http://nj.58.com/hezu/32535796573876x.shtml
单间 | 中和桥30号主卧出租 限女生,秦虹,1500,http://nj.58.com/hezu/32528404919210x.shtml
整租 | 金陵名人居 1室1厅1卫,金陵名人居,1500,http://nj.58.com/zufang/32340491118780x.shtml
单间 | 宇业东方红郡 4室1厅2卫 男女不限,宇业东方红郡,450,http://nj.58.com/hezu/32633220688822x.shtml
单间 | 栖霞迈皋桥壹城东区 5室2厅 主卧 朝北 中等装修,壹城东区,580,http://nj.58.com/hezu/32414725741003x.shtml
整租 | 栖霞马群马群南湾营润 2室1厅 50平米 精装修 押,南湾营润康苑,1100,http://nj.58.com/zufang/28975050342971x.shtml
单间 | 天华硅谷 地铁3号线泰冯路站 女生合租 可月付 主卧,天华硅谷庄园,830,http://nj.58.com/hezu/32614804281918x.shtml
单间 | 江宁科学园潭桥公寓北园 4室2厅 主卧 朝南 精装修,潭桥公寓北园,900,http://nj.58.com/hezu/31472234231470x.shtml
单间 | 出租天印大道地铁口市政天元城3居中的一间精装朝南可月,科学园,800,http://nj.58.com/hezu/32425366140856x.shtml
单间 | 雨花台小行名城世家 5室1厅 次卧 朝南北 简单装修,名城世家,800,http://nj.58.com/hezu/29978629714239x.shtml
单间 | 江宁东山明月新寓花园 3室1厅 主卧 朝南 精装修,明月新寓花园,800,http://nj.58.com/hezu/32536171321664x.shtml
单间 | 雨花台铁心桥新河苑 精装次卧 个人房 无 拎包入住,春江新城新河苑,800,http://nj.58.com/hezu/32148868630591x.shtml
单间 | 栖霞马群百水芊城丽水 3室1厅 主卧 朝南 简单装修,百水芊城丽水坊,400,http://nj.58.com/hezu/32655589166532x.shtml
单间 | 夫子庙 武定门 琵琶小区,琵琶小区,1100,http://nj.58.com/hezu/32644586016058x.shtml
整租 | 南大和园 4室1厅2卫,南大和园,4400,http://nj.58.com/zufang/32513178273577x.shtml
整租 | 魔方公寓 1室1厅1卫,魔方城市公寓,2000,http://nj.58.com/zufang/32655589230531x.shtml
单间 | 万达广场对面 步行街小区 拎包入住 精装修,步行街小区,850,http://nj.58.com/hezu/32527044052649x.shtml
单间 | 万达广场对面 步行街 女人街 嘉顺时代广场主卧带阳台,嘉顺时代广场,899,http://nj.58.com/hezu/32536262172751x.shtml
单间 | 迈皋桥附近 中铁青秀城 主卧 朝南 精装修 押一付一,中铁青秀城,980,http://nj.58.com/hezu/32525063351117x.shtml
单间 | 个人出租，胜太路站附近宁湖园岚岛别墅3室中的一间首次,宁湖园岚岛别墅,850,http://nj.58.com/hezu/32557681736524x.shtml
整租 | 秣陵路小区 1室1厅1卫,秣陵路小区,2600,http://nj.58.com/zufang/32633074471623x.shtml
单间 | 雨花台铁心桥新河苑 精装次卧 朝南 个人房 无其他,春江新城新河苑,800,http://nj.58.com/hezu/32157292042820x.shtml
整租 | 东方万汇国际公寓(东方万汇城南区) 2室2厅1卫,东方万汇国际公寓(东方万汇城南区),2500,http://nj.58.com/zufang/32223483802957x.shtml
单间 | 江宁万达广场附近 芙阁新村 主卧 朝南 押一付一,芙阁新村,800,http://nj.58.com/hezu/32535796573876x.shtml
单间 | 中和桥30号主卧出租 限女生,秦虹,1500,http://nj.58.com/hezu/32528404919210x.shtml
整租 | 城开国际 1室1厅1卫,城开国际,3600,http://nj.58.com/zufang/32655595710397x.shtml
单间 | 浦口区柳州东路单间出租 男女不限,桥北,800,http://nj.58.com/hezu/32622127768495x.shtml
单间 | 火瓦巷58号 3室1厅1卫 男女不限,新街口,1000,http://nj.58.com/hezu/31869714904268x.shtml
整租 | 骆村新寓 3室1厅1卫,骆村新寓,3000,http://nj.58.com/zufang/32611365231028x.shtml
